Date,Station,Latitude,Longitude,AQI,Outlier_IQR,Outlier_Zscore,Outlier_Either,Outlier_Both,ZScore,IQR_LowerBound,IQR_UpperBound,IsHoliday,HolidayName,Season,SeasonOrdinal,MonthName,MonthNum,Quarter,DayofWeek,WeekNum,IsWeekend,IsWinter,Asthma_Risk
2023-01-01,Alipur,28.817,77.119,292,0,0,0,0,0.85,-185.0,583.0,1,New Year,Winter,1,January,1,1,Sunday,52,1,1,Unsafe
2023-01-02,Alipur,28.817,77.119,292,0,0,0,0,0.85,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Monday,1,0,1,Unsafe
2023-01-03,Alipur,28.817,77.119,369,0,0,0,0,1.57,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Tuesday,1,0,1,Unsafe
2023-01-04,Alipur,28.817,77.119,300,0,0,0,0,0.93,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Wednesday,1,0,1,Unsafe
2023-01-05,Alipur,28.817,77.119,307,0,0,0,0,0.99,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Thursday,1,0,1,Unsafe
2023-01-06,Alipur,28.817,77.119,360,0,0,0,0,1.49,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Friday,1,0,1,Unsafe
2023-01-07,Alipur,28.817,77.119,334,0,0,0,0,1.24,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Saturday,1,1,1,Unsafe
2023-01-08,Alipur,28.817,77.119,326,0,0,0,0,1.17,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Sunday,1,1,1,Unsafe
2023-01-09,Alipur,28.817,77.119,366,0,0,0,0,1.54,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Monday,2,0,1,Unsafe
2023-01-10,Alipur,28.817,77.119,357,0,0,0,0,1.46,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Tuesday,2,0,1,Unsafe
2023-01-11,Alipur,28.817,77.119,261,0,0,0,0,0.56,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Wednesday,2,0,1,Unsafe
2023-01-12,Alipur,28.817,77.119,369,0,0,0,0,1.57,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Thursday,2,0,1,Unsafe
2023-01-13,Alipur,28.817,77.119,378,0,0,0,0,1.65,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Friday,2,0,1,Unsafe
2023-01-14,Alipur,28.817,77.119,345,0,0,0,0,1.35,-185.0,583.0,1,Lohri,Winter,1,January,1,1,Saturday,2,1,1,Unsafe
2023-01-15,Alipur,28.817,77.119,204,0,0,0,0,0.03,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Sunday,2,1,1,Unsafe
2023-01-16,Alipur,28.817,77.119,276,0,0,0,0,0.7,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Monday,3,0,1,Unsafe
2023-01-17,Alipur,28.817,77.119,260,0,0,0,0,0.55,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Tuesday,3,0,1,Unsafe
2023-01-18,Alipur,28.817,77.119,282,0,0,0,0,0.76,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Wednesday,3,0,1,Unsafe
2023-01-19,Alipur,28.817,77.119,324,0,0,0,0,1.15,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Thursday,3,0,1,Unsafe
2023-01-20,Alipur,28.817,77.119,197,0,0,0,0,-0.04,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Friday,3,0,1,Unsafe
2023-01-21,Alipur,28.817,77.119,310,0,0,0,0,1.02,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Saturday,3,1,1,Unsafe
2023-01-22,Alipur,28.817,77.119,404,0,0,0,0,1.9,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Sunday,3,1,1,Unsafe
2023-01-23,Alipur,28.817,77.119,343,0,0,0,0,1.33,-185.0,583.0,0,Regular Day,Winter,1,January,1,1,Monday,4,0,1,Unsafe
